,county,state,population,dc,obs_dr
569,Champaign,IL,173025,31.0,1.791648605692819
570,Christian,IL,34418,12.0,3.4865477366494275
571,Clark,IL,15921,5.0,3.1405062496074363
572,Clay,IL,14460,13.0,8.990318118948824
573,Clinton,IL,33944,7.0,2.062220127268442
574,Coles,IL,51644,12.0,2.323600030981334
575,Cook,IL,5105067,1052.0,2.0606977342315
576,Crawford,IL,19464,7.0,3.596383066173448
577,Cumberland,IL,10670,2.0,1.8744142455482664
578,De witt,IL,16516,0.0,0.0
579,Dekalb,IL,77932,0.0,0.0
580,Douglas,IL,19464,3.0,1.5413070283600492
581,Dupage,IL,781666,0.0,0.0
582,Edgar,IL,19595,4.0,2.041337075784639
583,Edwards,IL,7440,0.0,0.0
584,Effingham,IL,31704,6.0,1.8925056775170326
585,Fayette,IL,20893,9.0,4.307662853587327
586,Ford,IL,14275,6.0,4.203152364273205
587,Franklin,IL,40319,17.0,4.2163744140479675
588,Fulton,IL,38080,9.0,2.3634453781512605
589,Gallatin,IL,6909,1.0,1.4473874656245478
590,Greene,IL,15317,3.0,1.958608082522687
591,Grundy,IL,32337,7.0,2.164702971827937
592,Hamilton,IL,8499,6.0,7.059654076950229
593,Hancock,IL,21373,9.0,4.2109203200299445
594,Hardin,IL,5189,2.0,3.854307188282906
595,Henderson,IL,8096,0.0,0.0
596,Henry,IL,51159,18.0,3.5184425027854336
597,Iroquois,IL,30787,7.0,2.273686945788807
598,Jackson,IL,61067,15.0,2.4563184698773477
599,Jasper,IL,10609,2.0,1.8851918182675087
600,Jefferson,IL,37020,9.0,2.4311183144246353
601,Jersey,IL,20539,5.0,2.4343931057987245
602,Jo daviess,IL,21821,0.0,0.0
603,Johnson,IL,11347,3.0,2.6438706265973386
604,Kane,IL,317471,48.0,1.5119491229120139
605,Kankakee,IL,96255,10.0,1.0389070697626097
606,Kendall,IL,39413,7.0,1.7760637353157585
607,Knox,IL,56393,13.0,2.3052506516766265
608,La salle,IL,106913,0.0,0.0
609,Lake,IL,516418,81.0,1.5684968378329183
610,Lawrence,IL,15972,8.0,5.008765339343852
611,Lee,IL,34392,4.0,1.1630611770179111
612,Livingston,IL,39301,12.0,3.0533574209307655
613,Logan,IL,30798,4.0,1.2987856354308722
614,Macon,IL,117206,36.0,3.0715151101479448
615,Macoupin,IL,47679,20.0,4.194718848969147
616,Madison,IL,249238,63.0,2.527704443142699
617,Marion,IL,41561,11.0,2.6467120617886963
618,Marshall,IL,12846,5.0,3.892262182780632
619,Mason,IL,16269,6.0,3.6879955744053103
620,Massac,IL,14752,1.0,0.6778741865509762
621,Mcdonough,IL,35244,0.0,0.0
622,Mchenry,IL,183241,0.0,0.0
623,Mclean,IL,129180,0.0,0.0
624,Menard,IL,11164,3.0,2.687208885704049
625,Mercer,IL,17290,2.0,1.156737998843262
626,Monroe,IL,22422,4.0,1.783962180001784
627,Montgomery,IL,30728,17.0,5.532413434001562
628,Morgan,IL,36397,6.0,1.648487512707091
629,Moultrie,IL,13930,3.0,2.1536252692031583
630,Ogle,IL,45957,13.0,2.828731205257088
631,Peoria,IL,182827,39.0,2.1331641387760016
632,Perry,IL,21412,7.0,3.269194844012703
633,Piatt,IL,15548,2.0,1.2863390789812195
634,Pike,IL,17577,4.0,2.2757012004323833
635,Pope,IL,4373,2.0,4.5735193231191404
636,Pulaski,IL,7523,1.0,1.3292569453675396
637,Putnam,IL,5730,2.0,3.4904013961605584
638,Randolph,IL,34583,14.0,4.0482317901859295
639,Richland,IL,16545,4.0,2.4176488365064976
640,Rock island,IL,148723,0.0,0.0
641,Saline,IL,26551,6.0,2.259801890700915
642,Sangamon,IL,178386,39.0,2.1862702229995628
643,Schuyler,IL,7498,2.0,2.667377967457989
644,Scott,IL,5644,3.0,5.315379163713678
645,Shelby,IL,22261,4.0,1.7968644714972375
646,St. clair,IL,262852,0.0,0.0
647,Stark,IL,6534,1.0,1.5304560759106214
648,Stephenson,IL,48052,17.0,3.537834013152418
649,Tazewell,IL,123692,32.0,2.5870711121171945
650,Union,IL,17619,10.0,5.675691015381123
651,Vermilion,IL,88257,31.0,3.5124692658939236
652,Wabash,IL,13111,0.0,0.0
653,Warren,IL,19181,6.0,3.1280955111829414
654,Washington,IL,14965,6.0,4.009355162044771
655,Wayne,IL,17241,2.0,1.1600255205614525
656,White,IL,16522,3.0,1.8157608037767823
657,Whiteside,IL,60186,10.0,1.6615159671684447
658,Will,IL,357313,61.0,1.7071866962579028
659,Williamson,IL,57733,15.0,2.5981674259089256
660,Winnebago,IL,252913,60.0,2.3723572928240144
661,Woodford,IL,32653,5.0,1.5312528710991333
662,Adams,IN,31095,8.0,2.5727608940344107
663,Allen,IN,300836,49.0,1.6287944261989924
664,Bartholomew,IN,63657,17.0,2.67056254614575
665,Benton,IN,9441,3.0,3.177629488401652
666,Blackford,IN,14067,2.0,1.4217672567000783
667,Boone,IN,38147,9.0,2.3592943088578395
668,Brown,IN,14080,4.0,2.840909090909091
669,Carroll,IN,18809,9.0,4.784943378170025
670,Cass,IN,38413,13.0,3.384270949938823
671,Clark,IN,87777,20.0,2.2785012019093838
672,Clay,IN,24705,8.0,3.238210888484113
673,Clinton,IN,30974,4.0,1.2914056950991155
674,Crawford,IN,9914,6.0,6.0520476094411935
675,Daviess,IN,27533,8.0,2.9056041840700253
676,De kalb,IN,35324,0.0,0.0
677,Dearborn,IN,38835,8.0,2.059997425003219
678,Decatur,IN,23645,8.0,3.383379149925989
679,Delaware,IN,119659,29.0,2.423553598141385
680,Dubois,IN,36616,16.0,4.369674459252786
681,Elkhart,IN,156198,32.0,2.048681801303474
682,Fayette,IN,26015,3.0,1.1531808571977704
683,Floyd,IN,64404,16.0,2.484317744239488
684,Fountain,IN,17808,5.0,2.807726864330638
685,Franklin,IN,19580,2.0,1.021450459652707
686,Fulton,IN,18840,4.0,2.1231422505307855
687,Gibson,IN,31913,5.0,1.5667596277379123
688,Grant,IN,74169,25.0,3.3706804729738837
689,Greene,IN,30410,5.0,1.644195988161789
690,Hamilton,IN,108936,15.0,1.3769552764926194
691,Hancock,IN,45527,9.0,1.976848902848859
692,Harrison,IN,29890,6.0,2.0073603211776514
693,Hendricks,IN,75717,13.0,1.716919582128188
694,Henry,IN,48139,18.0,3.739171981137955
695,Howard,IN,80827,14.0,1.7320944733814196
696,Huntington,IN,35427,10.0,2.8227058458238066
697,Jackson,IN,37730,14.0,3.7105751391465676
698,Jasper,IN,24960,9.0,3.6057692307692313
699,Jay,IN,21512,6.0,2.7891409445890667
700,Jefferson,IN,29797,8.0,2.684834043695674
701,Jennings,IN,23661,4.0,1.690545623600017
702,Johnson,IN,88109,17.0,1.9294283217378472
703,Knox,IN,39884,12.0,3.0087253033798014
704,Kosciusko,IN,65294,14.0,2.1441480074738872
705,La porte,IN,107066,0.0,0.0
706,Lagrange,IN,29477,8.0,2.713980391491672
707,Lake,IN,475594,87.0,1.829291370370526
708,Lawrence,IN,42836,10.0,2.334485012606219
709,Madison,IN,130669,37.0,2.8315820890953476
710,Marion,IN,797159,154.0,1.93186051967048
711,Marshall,IN,42182,5.0,1.1853397183632828
712,Martin,IN,10369,5.0,4.822065772977143
713,Miami,IN,36897,5.0,1.3551237227958912
714,Monroe,IN,108978,12.0,1.1011396795683532
715,Montgomery,IN,34436,6.0,1.742362643744918
716,Morgan,IN,55920,15.0,2.6824034334763946
717,Newton,IN,13551,7.0,5.165670430226551
718,Noble,IN,37877,7.0,1.8480872297172424
719,Ohio,IN,5315,0.0,0.0
720,Orange,IN,18409,7.0,3.8024879135205607
721,Owen,IN,17281,4.0,2.314680863375962
722,Parke,IN,15410,6.0,3.8935756002595716
723,Perry,IN,19107,9.0,4.710315591144607
724,Pike,IN,12509,3.0,2.3982732432648493
725,Porter,IN,128932,24.0,1.8614463438091395
726,Posey,IN,25968,8.0,3.080714725816389
727,Pulaski,IN,12643,3.0,2.3728545440164517
728,Putnam,IN,30315,10.0,3.2986970146792016
729,Randolph,IN,27148,16.0,5.893620156180934
730,Ripley,IN,24616,12.0,4.874878128046799
731,Rush,IN,18129,5.0,2.7580120249324285
732,Scott,IN,20991,9.0,4.287551807917679
733,Shelby,IN,40307,16.0,3.9695338278710897
734,Spencer,IN,19490,4.0,2.0523345305284764
735,St. joseph,IN,247052,0.0,0.0
736,Starke,IN,22747,10.0,4.396184112190618
737,Steuben,IN,27446,5.0,1.8217590905778618
738,Sullivan,IN,18993,10.0,5.265097667561733
739,Switzerland,IN,7738,1.0,1.2923235978288963
740,Tippecanoe,IN,130598,28.0,2.143983828236267
741,Tipton,IN,16119,2.0,1.2407717600347417
742,Union,IN,6976,2.0,2.86697247706422
743,Vanderburgh,IN,165058,48.0,2.908068678888633
744,Vermillion,IN,16773,8.0,4.769570142490909
745,Vigo,IN,106107,28.0,2.6388456934980726
746,Wabash,IN,35069,9.0,2.566369157945764
747,Warren,IN,8176,2.0,2.4461839530332683
748,Warrick,IN,44920,12.0,2.671415850400712
749,Washington,IN,23717,2.0,0.8432769743222162
750,Wayne,IN,71951,17.0,2.3627190727022556
751,Wells,IN,25948,8.0,3.083089255433945
752,White,IN,23265,9.0,3.8684719535783363
753,Whitley,IN,27651,5.0,1.8082528660807928
754,Adair,IA,8409,3.0,3.567606136282554
755,Adams,IA,4866,0.0,0.0
756,Allamakee,IA,13855,6.0,4.330566582461205
757,Appanoose,IA,13743,4.0,2.910572655169905
758,Audubon,IA,7334,3.0,4.090537223888737
759,Benton,IA,22429,5.0,2.229256765794284
760,Black hawk,IA,123798,0.0,0.0
761,Boone,IA,25186,7.0,2.7793218454697053
762,Bremer,IA,22813,11.0,4.821812124665761
763,Buchanan,IA,20844,5.0,2.398771828823642
764,Buena vista,IA,19965,0.0,0.0
765,Butler,IA,15731,9.0,5.721187464242578
766,Calhoun,IA,11508,6.0,5.213764337851929
767,Carroll,IA,21423,8.0,3.7343042524389674
768,Cass,IA,15128,3.0,1.9830777366472765
769,Cedar,IA,17381,8.0,4.602727115816121
770,Cerro gordo,IA,46733,0.0,0.0
771,Cherokee,IA,14098,6.0,4.255922825932756
772,Chickasaw,IA,13295,6.0,4.512974802557353
773,Clarke,IA,8287,0.0,0.0
774,Clay,IA,17585,2.0,1.1373329542223487
775,Clayton,IA,19054,5.0,2.62412091949197
776,Clinton,IA,51040,15.0,2.938871473354232
777,Crawford,IA,16775,5.0,2.9806259314456036
778,Dallas,IA,29755,7.0,2.3525457906234246
779,Davis,IA,8312,2.0,2.4061597690086622
780,Decatur,IA,8338,4.0,4.797313504437516
781,Delaware,IA,18035,6.0,3.3268644302744663
782,Des moines,IA,42614,0.0,0.0
783,Dickinson,IA,14909,3.0,2.0122073915084844
784,Dubuque,IA,86403,27.0,3.1248914968230275
785,Emmet,IA,11569,0.0,0.0
786,Fayette,IA,21843,13.0,5.951563429931785
787,Floyd,IA,17058,5.0,2.931175987806308
788,Franklin,IA,11364,4.0,3.5198873636043646
789,Fremont,IA,8226,3.0,3.646973012399708
790,Greene,IA,10045,8.0,7.964161274265804
791,Grundy,IA,12029,3.0,2.4939728988278325
792,Guthrie,IA,10935,2.0,1.828989483310471
793,Hamilton,IA,16071,7.0,4.355671706801069
794,Hancock,IA,12638,4.0,3.1650577623041625
795,Hardin,IA,19094,6.0,3.142348381690583
796,Harrison,IA,14730,9.0,6.109979633401222
797,Henry,IA,19226,3.0,1.5603869759700404
798,Howard,IA,9809,3.0,3.0584157406463452
799,Humboldt,IA,10756,3.0,2.7891409445890667
800,Ida,IA,8365,4.0,4.781829049611477
801,Iowa,IA,14630,4.0,2.7341079972658924
802,Jackson,IA,19950,5.0,2.5062656641604013
803,Jasper,IA,34795,11.0,3.161373760597787
804,Jefferson,IA,16310,6.0,3.678724708767627
805,Johnson,IA,96119,14.0,1.4565278456912785
806,Jones,IA,19444,8.0,4.114379757251595
807,Keokuk,IA,11624,2.0,1.720578114246387
808,Kossuth,IA,18591,6.0,3.2273680813296757
809,Lee,IA,38687,16.0,4.135756197172177
810,Linn,IA,168767,32.0,1.8961052812457413
811,Louisa,IA,11592,3.0,2.587991718426501
812,Lucas,IA,9070,2.0,2.205071664829107
813,Lyon,IA,11952,6.0,5.02008032128514
814,Madison,IA,12483,4.0,3.204357926780421
815,Mahaska,IA,21522,6.0,2.787844995818232
816,Marion,IA,30001,14.0,4.666511116296123
817,Marshall,IA,38276,13.0,3.396384157174208
818,Mills,IA,13202,4.0,3.0298439630359035
819,Mitchell,IA,10928,7.0,6.405563689604684
820,Monona,IA,10034,3.0,2.9898345624875424
821,Monroe,IA,8114,5.0,6.162188809465122
822,Montgomery,IA,12076,3.0,2.484266313348791
823,Muscatine,IA,39907,6.0,1.5034956273335505
824,O'brien,IA,15444,0.0,0.0
825,Osceola,IA,7267,0.0,0.0
826,Page,IA,16870,3.0,1.7783046828689983
827,Palo alto,IA,10669,0.0,0.0
828,Plymouth,IA,23388,9.0,3.8481272447408927
829,Pocahontas,IA,9525,3.0,3.1496062992125986
830,Polk,IA,327140,97.0,2.96509139817815
831,Pottawattamie,IA,82628,26.0,3.146633102580239
832,Poweshiek,IA,19033,4.0,2.1016129879682657
833,Ringgold,IA,5420,5.0,9.22509225092251
834,Sac,IA,12324,1.0,0.8114248620577735
835,Scott,IA,150979,35.0,2.3182031938216574
836,Shelby,IA,13230,9.0,6.802721088435374
837,Sioux,IA,29903,1.0,0.3344146072300438
838,Story,IA,74252,11.0,1.4814415773312504
839,Tama,IA,17419,5.0,2.8704288420690047
840,Taylor,IA,7114,3.0,4.217036828788304
841,Union,IA,12750,9.0,7.058823529411765
842,Van buren,IA,7676,0.0,0.0
843,Wapello,IA,35687,12.0,3.3625690027180766
844,Warren,IA,36033,10.0,2.775233813448783
845,Washington,IA,19612,5.0,2.5494595145829084
846,Wayne,IA,7067,3.0,4.245082779114192
847,Webster,IA,40342,11.0,2.7266868276238165
848,Winnebago,IA,12122,0.0,0.0
849,Winneshiek,IA,20847,6.0,2.8781119585551878
850,Woodbury,IA,98276,18.0,1.8315763767349098
851,Worth,IA,7991,6.0,7.5084470028782375
852,Wright,IA,14269,2.0,1.401639918704885
853,Allen,KS,14638,7.0,4.78207405383249
854,Anderson,KS,7803,4.0,5.126233499935922
855,Atchison,KS,16932,6.0,3.543586109142452
856,Barber,KS,5874,3.0,5.107252298263535
857,Barton,KS,29382,5.0,1.701722142808522
858,Bourbon,KS,14966,4.0,2.6727248429774155
859,Brown,KS,11128,5.0,4.493170381020849
860,Butler,KS,50580,13.0,2.5701858442071965
861,Chase,KS,3021,1.0,3.3101621979476996
862,Chautauqua,KS,4407,1.0,2.269117313365101
863,Cherokee,KS,21374,5.0,2.339290727051558
864,Cheyenne,KS,3243,1.0,3.0835646006783843
865,Clark,KS,2418,2.0,8.271298593879239
866,Clay,KS,9158,0.0,0.0
867,Cloud,KS,11023,4.0,3.6287761952281596
868,Coffey,KS,8404,4.0,4.75963826749167
869,Comanche,KS,2313,1.0,4.32338953739732
870,Cowley,KS,36915,12.0,3.2507110930516045
871,Crawford,KS,35568,14.0,3.9361223571749884
872,Decatur,KS,4021,2.0,4.973887092762994
873,Dickinson,KS,18958,9.0,4.747336216900517
874,Doniphan,KS,8134,5.0,6.1470371281042535
875,Douglas,KS,81798,12.0,1.4670285337049804
876,Edwards,KS,3787,1.0,2.6406126221283337
877,Elk,KS,3327,2.0,6.011421701232342
878,Ellis,KS,26004,11.0,4.230118443316414
879,Ellsworth,KS,6586,4.0,6.0734892195566355
880,Finney,KS,33070,7.0,2.1167221046265494
881,Ford,KS,27463,5.0,1.820631394967775
882,Franklin,KS,21994,10.0,4.546694553059925
883,Geary,KS,30453,3.0,0.9851246182642104
884,Gove,KS,3231,0.0,0.0
885,Graham,KS,3543,1.0,2.822466836014677
886,Grant,KS,7159,0.0,0.0
887,Gray,KS,5396,1.0,1.8532246108228319
888,Greeley,KS,1774,0.0,0.0
889,Greenwood,KS,7847,6.0,7.646234229641901
890,Hamilton,KS,2388,1.0,4.1876046901172534
891,Harper,KS,7124,4.0,5.614823133071309
892,Harvey,KS,31028,9.0,2.9006059043444634
893,Haskell,KS,3886,1.0,2.573340195573855
894,Hodgeman,KS,2177,0.0,0.0
895,Jackson,KS,11525,4.0,3.470715835140998
896,Jefferson,KS,15905,4.0,2.5149324111914493
897,Jewell,KS,4251,1.0,2.3523876734885913
898,Johnson,KS,355054,72.0,2.0278605507894576
899,Kearny,KS,4027,1.0,2.4832381425378696
900,Kingman,KS,8292,2.0,2.41196333815726
901,Kiowa,KS,3660,0.0,0.0
902,Labette,KS,23693,6.0,2.532393533955177
903,Lane,KS,2375,0.0,0.0
904,Leavenworth,KS,64371,12.0,1.864193503285641
905,Lincoln,KS,3653,1.0,2.7374760470845882
906,Linn,KS,8254,3.0,3.63460140537921
907,Logan,KS,3081,1.0,3.245699448231094
908,Lyon,KS,34732,4.0,1.1516756881262238
909,Marion,KS,12888,5.0,3.8795779019242707
910,Marshall,KS,11705,6.0,5.126014523707817
911,Mcpherson,KS,27268,0.0,0.0
912,Meade,KS,4247,1.0,2.3546032493524844
913,Miami,KS,23466,4.0,1.704593880507969
914,Mitchell,KS,7203,0.0,0.0
915,Montgomery,KS,38816,16.0,4.122011541632316
916,Morris,KS,6198,2.0,3.2268473701193936
917,Morton,KS,3480,0.0,0.0
918,Nemaha,KS,10446,4.0,3.829216925138809
919,Neosho,KS,17035,1.0,0.587026709715292
920,Ness,KS,4033,2.0,4.959087527894868
921,Norton,KS,5947,3.0,5.044560282495375
922,Osage,KS,15248,5.0,3.2791185729275973
923,Osborne,KS,4867,1.0,2.054653790836244
924,Ottawa,KS,5634,1.0,1.774937877174299
925,Pawnee,KS,7555,2.0,2.6472534745201854
926,Phillips,KS,6590,4.0,6.0698027314112295
927,Pottawatomie,KS,16128,3.0,1.8601190476190474
928,Pratt,KS,9702,1.0,1.0307153164296021
929,Rawlins,KS,3404,2.0,5.875440658049354
930,Reno,KS,62389,30.0,4.808539966981359
931,Republic,KS,6482,3.0,4.62820117247763
932,Rice,KS,10610,10.0,9.42507068803016
933,Riley,KS,67139,7.0,1.04261308628368
934,Rooks,KS,6039,1.0,1.6559032952475576
935,Rush,KS,3842,1.0,2.602811035918793
936,Russell,KS,7835,1.0,1.2763241863433312
937,Saline,KS,49301,10.0,2.028356422790613
938,Scott,KS,5289,2.0,3.7814331631688414
939,Sedgwick,KS,403662,92.0,2.279134523437926
940,Seward,KS,18743,3.0,1.600597556421064
941,Shawnee,KS,160976,46.0,2.8575688301361692
942,Sheridan,KS,3043,2.0,6.572461386789352
943,Sherman,KS,6926,4.0,5.775339301183945
944,Smith,KS,5078,3.0,5.907837731390311
945,Stafford,KS,5365,3.0,5.591798695246971
946,Stanton,KS,2333,0.0,0.0
947,Stevens,KS,5048,2.0,3.9619651347068148
948,Sumner,KS,25841,17.0,6.578692775047406
949,Thomas,KS,8258,1.0,1.2109469605231291
950,Trego,KS,3694,2.0,5.414185165132648
951,Wabaunsee,KS,6603,2.0,3.028926245645919
952,Wallace,KS,1821,0.0,0.0
953,Washington,KS,7073,2.0,2.827654460624912
954,Wichita,KS,2758,0.0,0.0
955,Wilson,KS,10289,5.0,4.859558752065312
956,Woodson,KS,4116,3.0,7.288629737609329
957,Wyandotte,KS,161993,40.0,2.4692424981326355
958,Adair,KY,15360,3.0,1.953125
959,Allen,KY,14628,7.0,4.78534317746787
960,Anderson,KY,14571,1.0,0.6862946949420081
961,Ballard,KY,7902,1.0,1.2655024044545686
962,Barren,KY,34001,14.0,4.117525955118967
963,Bath,KY,9692,4.0,4.127115146512588
964,Bell,KY,31506,11.0,3.491398463784676
965,Boone,KY,57589,12.0,2.083731268124121
966,Bourbon,KY,19236,8.0,4.158868787689749
967,Boyd,KY,51150,18.0,3.519061583577713
968,Boyle,KY,25641,5.0,1.9500019500019499
969,Bracken,KY,7766,4.0,5.150656708730363
970,Breathitt,KY,15703,3.0,1.9104629688594537
971,Breckinridge,KY,16312,5.0,3.0652280529671407
972,Bullitt,KY,47567,3.0,0.6306893434523935
973,Butler,KY,11245,5.0,4.44642063139173
974,Caldwell,KY,13232,0.0,0.0
975,Calloway,KY,30735,8.0,2.602895721490158
976,Campbell,KY,83866,17.0,2.0270431402475375
977,Carlisle,KY,5238,1.0,1.909125620465827
978,Carroll,KY,9292,4.0,4.304778303917348
979,Carter,KY,24340,5.0,2.0542317173377156
980,Casey,KY,14211,3.0,2.1110407430863414
981,Christian,KY,68941,10.0,1.4505156583165315
982,Clark,KY,29496,5.0,1.6951451044209385
983,Clay,KY,21746,3.0,1.3795640577577486
984,Clinton,KY,9135,4.0,4.378762999452655
985,Crittenden,KY,9196,4.0,4.349717268377556
986,Cumberland,KY,6784,0.0,0.0
987,Daviess,KY,87189,21.0,2.4085607129339714
988,Edmonson,KY,10357,3.0,2.896591677126581
989,Elliott,KY,6455,2.0,3.098373353989156
990,Estill,KY,14614,7.0,4.789927466812645
991,Fayette,KY,225366,36.0,1.5974015601288571
992,Fleming,KY,12292,7.0,5.694760820045557
993,Floyd,KY,43586,14.0,3.2120405634836873
994,Franklin,KY,43781,7.0,1.5988670884630316
995,Fulton,KY,8271,4.0,4.836174585902551
996,Gallatin,KY,5393,1.0,1.8542555164101613
997,Garrard,KY,11579,2.0,1.7272648760687452
998,Grant,KY,15737,1.0,0.6354451293130838
999,Graves,KY,33550,13.0,3.874813710879285
1000,Grayson,KY,21050,2.0,0.9501187648456056
1001,Green,KY,10371,2.0,1.9284543438434094
1002,Greenup,KY,36742,3.0,0.8165042730390288
1003,Hancock,KY,7864,1.0,1.2716174974567651
1004,Hardin,KY,89240,13.0,1.4567458538771851
1005,Harlan,KY,36574,9.0,2.4607644774976762
1006,Harrison,KY,16248,3.0,1.846381093057607
1007,Hart,KY,14890,3.0,2.0147750167897915
1008,Henderson,KY,43044,7.0,1.6262429142273023
1009,Henry,KY,12823,2.0,1.5596974187007724
1010,Hickman,KY,5566,3.0,5.389867049946101
1011,Hopkins,KY,46126,9.0,1.9511772102501843
1012,Jackson,KY,11955,4.0,3.345880384776245
1013,Jefferson,KY,664937,157.0,2.361125941254585
1014,Jessamine,KY,30508,3.0,0.9833486298675757
1015,Johnson,KY,23248,6.0,2.5808671713695803
1016,Kenton,KY,142031,27.0,1.9009934450929729
1017,Knott,KY,17906,3.0,1.675416061655311
1018,Knox,KY,29676,7.0,2.358808464752662
1019,Larue,KY,11679,0.0,0.0
1020,Laurel,KY,43438,4.0,0.920852709609098
1021,Lawrence,KY,13998,4.0,2.8575510787255323
1022,Lee,KY,7422,5.0,6.736728644570197
1023,Leslie,KY,13642,1.0,0.7330303474563847
1024,Letcher,KY,27000,6.0,2.222222222222222
1025,Lewis,KY,13029,0.0,0.0
1026,Lincoln,KY,20045,3.0,1.4966325767024196
1027,Livingston,KY,9062,2.0,2.2070183182520418
1028,Logan,KY,24416,8.0,3.27653997378768
1029,Lyon,KY,6624,2.0,3.0193236714975846
1030,Madison,KY,57508,12.0,2.086666202963066
1031,Magoffin,KY,13077,4.0,3.0588055364380216
1032,Marion,KY,16499,3.0,1.8182920176980422
1033,Marshall,KY,27205,10.0,3.6757948906451023
1034,Martin,KY,12526,1.0,0.7983394539358135
1035,Mason,KY,16666,3.0,1.800072002880115
1036,Mccracken,KY,62879,0.0,0.0
1037,Mccreary,KY,15603,0.0,0.0
1038,Mclean,KY,9628,0.0,0.0
1039,Meade,KY,24170,2.0,0.8274720728175424
1040,Menifee,KY,5092,1.0,1.963864886095837
1041,Mercer,KY,19148,6.0,3.133486526007938
1042,Metcalfe,KY,8963,2.0,2.2313957380341405
1043,Monroe,KY,11401,5.0,4.385580212262082
1044,Montgomery,KY,19561,4.0,2.0448852308164205
1045,Morgan,KY,11648,2.0,1.717032967032967
1046,Muhlenberg,KY,31318,11.0,3.5123571109266236
1047,Nelson,KY,29710,2.0,0.6731740154830024
1048,Nicholas,KY,6725,0.0,0.0
1049,Ohio,KY,21105,9.0,4.264392324093817
1050,Oldham,KY,33263,6.0,1.8038060307248294
1051,Owen,KY,9035,0.0,0.0
1052,Owsley,KY,5036,1.0,1.9857029388403495
1053,Pendleton,KY,12036,6.0,4.985044865403788
1054,Perry,KY,30283,6.0,1.9813096456757917
1055,Pike,KY,72583,20.0,2.755466155986939
1056,Powell,KY,11686,3.0,2.567174396714017
1057,Pulaski,KY,49489,15.0,3.0309765806542868
1058,Robertson,KY,2124,1.0,4.708097928436912
1059,Rockcastle,KY,14803,3.0,2.0266162264405865
1060,Rowan,KY,20353,2.0,0.9826561194909842
1061,Russell,KY,14716,6.0,4.077194889915738
1062,Scott,KY,23867,5.0,2.0949428080613397
1063,Shelby,KY,24824,7.0,2.819851756364808
1064,Simpson,KY,15145,6.0,3.961703532518983
1065,Spencer,KY,6801,2.0,2.940744008234083
1066,Taylor,KY,21146,2.0,0.9458053532582995
1067,Todd,KY,10940,1.0,0.9140767824497258
1068,Trigg,KY,10361,6.0,5.790946819805038
1069,Trimble,KY,6090,2.0,3.284072249589491
1070,Union,KY,16557,4.0,2.4158965996255364
1071,Warren,KY,76673,12.0,1.565088101417709
1072,Washington,KY,10441,2.0,1.9155253328225268
1073,Wayne,KY,17468,4.0,2.289901534234028
1074,Webster,KY,13955,3.0,2.1497671085632386
1075,Whitley,KY,33326,6.0,1.8003960871391707
1076,Wolfe,KY,6503,3.0,4.613255420575118
1077,Woodford,KY,19955,6.0,3.006765221748935
1078,Acadia parish,LA,55882,0.0,0.0
1079,Allen parish,LA,21226,0.0,0.0
1080,Ascension parish,LA,58214,0.0,0.0
1081,Assumption parish,LA,22753,0.0,0.0
1082,Avoyelles parish,LA,39159,0.0,0.0
1083,Beauregard parish,LA,30083,0.0,0.0
1084,Bienville parish,LA,15979,0.0,0.0
1085,Bossier parish,LA,86088,0.0,0.0
1086,Caddo parish,LA,248253,0.0,0.0
1087,Calcasieu parish,LA,168134,0.0,0.0
1088,Caldwell parish,LA,9810,0.0,0.0
1089,Cameron parish,LA,9260,0.0,0.0
1090,Catahoula parish,LA,11065,0.0,0.0
1091,Claiborne parish,LA,17405,0.0,0.0
1092,Concordia parish,LA,20828,0.0,0.0
1093,De soto parish,LA,25346,0.0,0.0
1094,East baton rouge parish,LA,380105,0.0,0.0
1095,East carroll parish,LA,9709,0.0,0.0
1096,East feliciana parish,LA,19211,0.0,0.0
1097,Evangeline parish,LA,33274,0.0,0.0
1098,Franklin parish,LA,22387,0.0,0.0
1099,Grant parish,LA,17526,0.0,0.0
1100,Iberia parish,LA,68297,0.0,0.0
1101,Iberville parish,LA,31049,0.0,0.0
1102,Jackson parish,LA,15705,0.0,0.0
1103,Jefferson davis parish,LA,30722,0.0,0.0
1104,Jefferson parish,LA,448306,0.0,0.0
1105,La salle parish,LA,13662,0.0,0.0
1106,Lafayette parish,LA,164762,0.0,0.0
1107,Lafourche parish,LA,85860,0.0,0.0
1108,Lincoln parish,LA,41745,0.0,0.0
1109,Livingston parish,LA,70526,0.0,0.0
1110,Madison parish,LA,12463,0.0,0.0
1111,Morehouse parish,LA,31938,0.0,0.0
1112,Natchitoches parish,LA,36689,0.0,0.0
1113,Orleans parish,LA,496938,0.0,0.0
1114,Ouachita parish,LA,142191,0.0,0.0
1115,Plaquemines parish,LA,25575,0.0,0.0
1116,Pointe coupee parish,LA,22540,0.0,0.0
1117,Rapides parish,LA,131556,0.0,0.0
1118,Red river parish,LA,9387,0.0,0.0
1119,Richland parish,LA,20629,0.0,0.0
1120,Sabine parish,LA,22646,0.0,0.0
1121,St. bernard parish,LA,66631,0.0,0.0
1122,St. charles parish,LA,42437,0.0,0.0
1123,St. helena parish,LA,9874,0.0,0.0
1124,St. james parish,LA,20879,0.0,0.0
1125,St. john the baptist paris,LA,39996,0.0,0.0
